"Hospital Name","City","State"
"UCSF Benioff Children's Hospital - Oakland","Oakland","California"
"Tri-City Health Care District","Oceanside","California"
"KF - Ontario Campus","Ontario","California"
"CHOC Children's Hospital","Orange","California"
"UC Irvine Medical Center","Orange","California"
"St. John's Regional Medical Center","Oxnard","California"
"Desert Regional Medical Center","Palm Springs","California"
"Lucile Packard Children's Hospital Stanford","Palo Alto","California"
"KF - Panorama City","Panorama City","California"
"Huntington Memorial Hospital","Pasadena","California"
"Pomona Valley Hospital Medical Center","Pomona","California"
"Mercy Medical Center - Redding","Redding","California"
"Redlands Community Hospital","Redlands","California"
"LPCH Special Care Nursery at Sequoia Hospital","Redwood City","California"
"KF - Riverside","Riverside","California"
"Parkview Community Hospital","Riverside","California"
"Riverside Community Hospital","Riverside","California"
"KP - Sacramento/Roseville","Roseville","California"
"Sutter Roseville Medical Center","Roseville","California"
"Anderson Lucchetti Women's and Children's Center","Sacramento","California"
"Methodist Hospital of Sacramento","Sacramento","California"
"UC Davis Medical Center","Sacramento","California"
"Natividad Medical Center","Salinas","California"
"Salinas Valley Memorial Healthcare System","Salinas","California"
"Community Hospital of San Bernardino","San Bernardino","California"
"St. Bernadine Medical Center","San Bernardino","California"
"KF - San Diego","San Diego","California"
"Rady Children's Hospital San Diego (RCHSD)","San Diego","California"
"Scripps Mercy Hospital San Diego","San Diego","California"
"Sharp Mary Birch Hospital for Women","San Diego","California"
"UCSD Medical Center - Hillcrest","San Diego","California"
"California Pacific Medical Center - West (CPMC)","San Francisco","California"
"KP - San Francisco","San Francisco","California"
"UCSF Benioff Children's Hospital in San Francisco","San Francisco","California"
"Zuckerberg San Francisco General Hospital and Trau","San Francisco","California"
"San Gabriel Valley Medical Center","San Gabriel","California"
"Good Samaritan Hospital, San Jose","San Jose","California"
"O'Connor Hospital - San Jose","San Jose","California"
"Regional Medical Center of San Jose","San Jose","California"
"Santa Clara Valley Medical Center (SCVMC)","San Jose","California"
"KP - San Leandro (Hayward)","San Leandro","California"
"Sierra Vista Regional Medical Center","San Luis Obispo","California"
"Orange County Global Medical Center","Santa Ana","California"
"Santa Barbara Cottage Hospital","Santa Barbara","California"
"KP - Santa Clara","Santa Clara","California"
"Dominican Hospital, Santa Cruz","Santa Cruz","California"
"Marian Regional Medical Center","Santa Maria","California"
"Santa Monica - UCLA Medical Center & Orthopaedic H","Santa Monica","California"
"St. John's Health Center","Santa Monica","California"
"Santa Rosa Memorial Hospital","Santa Rosa","California"
"Sutter Santa Rosa Regional Hospital","Santa Rosa","California"
"Dameron Hospital Association","Stockton","California"
"St. Joseph's Medical Center, Stockton","Stockton","California"
"Olive View - UCLA Medical Center","Sylmar","California"
"Providence Tarzana Medical Center","Tarzana","California"
"Los Robles Regional Hospital & Medical Center","Thousand Oaks","California"
"Harbor UCLA Medical Center","Torrance","California"
"Providence Little Company of Mary Medical Center","Torrance","California"
"Torrance Memorial Medical Center","Torrance","California"
"San Antonio Regional Hospital","Upland","California"
"Henry Mayo Newhall Memorial Hospital","Valencia","California"
"Valley Presbyterian Hospital","Van Nuys","California"
"Community Memorial Hospital of Ventura","Ventura","California"
"Ventura County Medical Center (VCMC)","Ventura","California"
"Kaweah Delta Healthcare District","Visalia","California"
"John Muir Medical Center","Walnut Creek","California"
"KP - Walnut Creek","Walnut Creek","California"
"Watsonville Community Hospital","Watsonville","California"
"Citrus Valley Medical Center","West Covina","California"
"Presbyterian Intercommunity Hospital (PIH Health)","Whittier","California"
"KF - Woodland Hills","Woodland Hills","California"
"UCHSC","Aurora","Colorado"
"St. Francis Medical Center","Colorado Springs","Colorado"
"Denver Health Medical Center","Denver","Colorado"
"Rose Medical Center","Denver","Colorado"
"Saint Joseph Hospital","Denver","Colorado"
"Swedish Medical Center","Englewood","Colorado"
"Poudre Valley Health System","Fort Collins","Colorado"
"St. Mary's Hospital and Medical Center","Grand Junction","Colorado"
"Good Samaritan Medical Center","Lafayette","Colorado"
"Yale-New Haven Children's at Bridgeport Hospital","Bridgeport","Connecticut"
"Danbury Hospital","Danbury","Connecticut"
"Connecticut Children's NICU at UCONN Health Center","Farmington","Connecticut"
"Greenwich Hospital","Greenwich","Connecticut"
"Connecticut Children's Medical Center","Hartford","Connecticut"
"St. Francis Hospital","Hartford","Connecticut"
"Hospital of Central Connecticut, The","New Britain","Connecticut"
"Yale-New Haven Children's Hospital","New Haven","Connecticut"
"Norwalk Hospital","Norwalk","Connecticut"
"Stamford Hospital","Stamford","Connecticut"
"Christiana Care Health Services","Newark","Delaware"
"MedStar Georgetown University Hospital","Washington","District Of Columbia"
"Washington Hospital Center","Washington","District Of Columbia"
"Brandon Regional Hospital","Brandon","Florida"
"Broward General Medical Center","Fort Lauderdale","Florida"
"Golisano Children's Hospital of Southwest Florida","Fort Myers","Florida"
"North Florida Regional Medical Center, Inc.","Gainesville","Florida"
"UF Shands Hospital Gainesville","Gainesville","Florida"
"Joe DiMaggio Children's Hospital","Hollywood","Florida"
"UF Health Jacksonville","Jacksonville","Florida"
"Baptist Children's Hospital","Miami","Florida"
"Jackson Memorial Hospital","Miami","Florida"
"Kendall Regional Medical Center","Miami","Florida"
"Nicklaus Children's Hospital","Miami","Florida"
"Jackson North Medical Center","North Miami Beach","Florida"
"Florida Hospital for Children","Orlando","Florida"
"Nemours Children's Hospital","Orlando","Florida"
"Winnie Palmer Hospital for Women and Babies","Orlando","Florida"
"Gulf Coast Regional Medical Center","Panama City","Florida"
"Sacred Heart Health System","Pensacola","Florida"
"Sheridan Children's, Plantation Hospital","Plantation","Florida"
"Johns Hopkins All Children's Hospital","Saint Petersburg","Florida"
"All Children's at Sarasota Memorial","Sarasota","Florida"
"Tallahassee Memorial Hospital","Tallahassee","Florida"
"St. Joseph's Children's Hospital","Tampa","Florida"
"Tampa General Hospital","Tampa","Florida"
"Women's Center at Florida Hospital - Tampa","Tampa","Florida"
"St. Mary's Hospital","West Palm Beach","Florida"
"Emory University Hospital, Midtown","Atlanta","Georgia"
"Grady Memorial Hospital","Atlanta","Georgia"
"Northside Hospital","Atlanta","Georgia"
"Piedmont Hospital","Atlanta","Georgia"
"Augusta University Health System","Augusta","Georgia"
"Wellstar Cobb Hospital","Austell","Georgia"
"Medical Center at Columbus Regional, The","Columbus","Georgia"
"Rockdale Medical Center","Conyers","Georgia"
"Northside Hospital Forsyth","Cumming","Georgia"
"Hamilton Medical Center","Dalton","Georgia"
"Piedmont Fayette Hospital","Fayetteville","Georgia"
"Northeast Georgia Medical Center","Gainesville","Georgia"
"Gwinnett Hospital System","Lawrenceville","Georgia"
"Coliseum Medical Center","Macon","Georgia"
"Wellstar Kennestone Hospital","Marietta","Georgia"
"Floyd Medical Center","Rome","Georgia"
"MHUMC Savannah","Savannah","Georgia"
"Eastside Medical Center","Snellville","Georgia"
"Piedmont Henry Hospital","Stockbridge","Georgia"
"Kaiser Permanente Moanalua Medical Center","Honolulu","Hawaii"
"Kapiolani Medical Center for Women & Children","Honolulu","Hawaii"
"St. Luke's Regional Medical Center","Boise","Idaho"
"Eastern Idaho Regional Medical Center (EIRMC)","Idaho Falls","Idaho"
"St. Luke's Magic Valley","Twin Falls","Idaho"
"Rush Copley Medical Center","Aurora","Illinois"
"Memorial Hospital","Belleville","Illinois"
"Memorial Hospital of Carbondale","Carbondale","Illinois"
"Illinois Masonic Medical Center","Chicago","Illinois"
"John H. Stroger, Jr. Hospital of Cook County","Chicago","Illinois"
"Mercy Hospital and Medical Center","Chicago","Illinois"
"Mt. Sinai Hospital Medical Center","Chicago","Illinois"
"Northwestern Memorial","Chicago","Illinois"
"Rush University Medical Center","Chicago","Illinois"
"St. Joseph Hospital  Chicago","Chicago","Illinois"
"University of Chicago","Chicago","Illinois"
"University of Illinois at Chicago","Chicago","Illinois"
"Advocate Good Samaritan Hospital","Downers Grove","Illinois"
"Evanston Hospital","Evanston","Illinois"
"Adventist Hinsdale Hospital","Hinsdale","Illinois"
"St. Alexius Medical Center","Hoffman Estates","Illinois"
"Provena Saint Joseph Medical Center","Joliet","Illinois"
"RMCH at Loyola University Medical Center","Maywood","Illinois"
"Centegra Hospital-McHenry","McHenry","Illinois"
"UnityPoint Trinity-Moline","Moline","Illinois"
"Edward Hospital and Health Services","Naperville","Illinois"
"Advocate Children's Hospital-Oak Lawn","Oak Lawn","Illinois"
"Advocate Children's Hospital - Park Ridge","Park Ridge","Illinois"
"CHOI at OSF St. Francis Medical Center","Peoria","Illinois"
"Rockford Memorial Hospital","Rockford","Illinois"
"St. John's Hospital","Springfield","Illinois"
"Carle Foundation Hospital","Urbana","Illinois"
"Central DuPage Hospital","Winfield","Illinois"
"IU Health North Hospital","Carmel","Indiana"
"St. Vincent Carmel Hospital","Carmel","Indiana"
"Franciscan Health Crown Point","Crown Point","Indiana"
"St. Vincent Evansville","Evansville","Indiana"
"Dupont Hospital","Fort Wayne","Indiana"
"Lutheran Hospital of Indiana","Fort Wayne","Indiana"
"Parkview Women's and Children's Hospital","Fort Wayne","Indiana"
"St. Joseph Hospital","Fort Wayne","Indiana"
"Community Hospital North Indianapolis","Indianapolis","Indiana"
"Franciscan St. Francis Health","Indianapolis","Indiana"
"Riley Hospital for Children at IU Health","Indianapolis","Indiana"
"St. Vincent Women's Hospital","Indianapolis","Indiana"
"Franciscan Health Lafayette","Lafayette","Indiana"
"Ball Memorial Hospital","Muncie","Indiana"
"Women's Hospital","Newburgh","Indiana"
"Memorial Hospital","South Bend","Indiana"
"Union Hospital","Terre Haute","Indiana"
"UnityPoint Trinity-Bettendorf NSCU","Bettendorf","Iowa"
"St. Luke's Hospital","Cedar Rapids","Iowa"
"Genesis Medical Center","Davenport","Iowa"
"Blank Children's Hospital","Des Moines","Iowa"
"Mercy Medical Center","Des Moines","Iowa"
"University of Iowa Children's Hospital","Iowa City","Iowa"
"St. Luke's Regional Medical Center","Sioux City","Iowa"
"Covenant Medical Center","Waterloo","Iowa"
"University of Kansas Hospital Authority","Kansas City","Kansas"
"Overland Park Regional Medical Center","Overland Park","Kansas"
"Shawnee Mission Medical Center","Shawnee Mission","Kansas"
"Via Christi Hospitals Wichita","Wichita","Kansas"
"Wesley Medical Center","Wichita","Kansas"
"King's Daughters Medical Center","Ashland","Kentucky"
"Medical Center NICU  Bowling Green, The","Bowling Green","Kentucky"
"St. Elizabeth Healthcare","Edgewood","Kentucky"
"Frankfort Regional Medical Center","Frankfort","Kentucky"
"Methodist Hospital  Henderson KY","Henderson","Kentucky"
"Jennie Stuart Medical Center","Hopkinsville","Kentucky"
"Baptist Health Lexington","Lexington","Kentucky"
"Kentucky Children's Hospital","Lexington","Kentucky"
"Women's Hospital at St. Joseph East, The","Lexington","Kentucky"
"Baptist Health Louisville","Louisville","Kentucky"
"Norton Children's Hospital","Louisville","Kentucky"
"Norton Women's and Children's  Hospital","Louisville","Kentucky"
"University of Louisville Hospital","Louisville","Kentucky"
"Baptist Health Madisonville","Madisonville","Kentucky"
"Owensboro Health Regional Hospital","Owensboro","Kentucky"
"Baptist Health Paducah","Paducah","Kentucky"
"Christus St. Frances Cabrini Hospital","Alexandria","Louisiana"
"Rapides Women's and Children's Hospital","Alexandria","Louisiana"
"Baton Rouge General Medical Ctr - Bluebonnet","Baton Rouge","Louisiana"
"Ochsner Medical Center Baton Rouge","Baton Rouge","Louisiana"
"Woman's Hospital","Baton Rouge","Louisiana"
"Ochsner Medical Center WestBank","Gretna","Louisiana"
"North Oaks Medical Center","Hammond","Louisiana"
"Terrebonne General Medical Center","Houma","Louisiana"
"Lafayette General Medical Center","Lafayette","Louisiana"
"Women's and Children's Hospital","Lafayette","Louisiana"
"Lake Area Medical Center","Lake Charles","Louisiana"
"Lake Charles Memorial Hosp for Women","Lake Charles","Louisiana"
"West Jefferson Medical Center","Marrero","Louisiana"
"Tulane Lakeside Hospital for Women and Children","Metairie","Louisiana"
"Ochsner Baptist Medical Center","New Orleans","Louisiana"
"Touro Infirmary","New Orleans","Louisiana"
"CHRISTUS Highland","Shreveport","Louisiana"
"LSU Health Sciences Center","Shreveport","Louisiana"
"Willis Knighton South","Shreveport","Louisiana"
"Eastern Maine Medical Center","Bangor","Maine"
"Barbara Bush Children's at Maine Medical","Portland","Maine"
"Anne Arundel Medical Center","Annapolis","Maryland"
"Franklin Square Hospital Center","Baltimore","Maryland"
"Greater Baltimore Medical Center","Baltimore","Maryland"
"JHBMC  Hopkins Bayview Medical Ctr","Baltimore","Maryland"
"Johns Hopkins Hospital","Baltimore","Maryland"
"Mercy Medical Center - Baltimore","Baltimore","Maryland"
"Sinai Hospital of Baltimore","Baltimore","Maryland"
"St. Agnes Hospital","Baltimore","Maryland"
"Univ of Maryland Medical Center","Baltimore","Maryland"
"Prince George's Hospital Center","Cheverly","Maryland"
"Howard County General Hospital","Columbia","Maryland"
"Frederick Memorial Hospital","Frederick","Maryland"
"Shady Grove Adventist Hospital","Rockville","Maryland"
"Holy Cross Hospital","Silver Spring","Maryland"
"Univ of Maryland St. Joseph Medical Ctr.","Towson","Maryland"
"Beth Israel Deaconess Medical Center","Boston","Massachusetts"
"Boston Medical Center","Boston","Massachusetts"
"Brigham and Women's Hospital","Boston","Massachusetts"
"Massachusetts General Hospital for Children","Boston","Massachusetts"
"Steward St. Elizabeth's Medical Center","Boston","Massachusetts"
"Tufts Medical Center","Boston","Massachusetts"
"South Shore Hospital","South Weymouth","Massachusetts"
"Baystate Medical Center","Springfield","Massachusetts"
"UMass Memorial Healthcare","Worcester","Massachusetts"
"St. Joseph Mercy Hospital","Ann Arbor","Michigan"
"U. of MI, CS Mott Children's, Brandon NICU","Ann Arbor","Michigan"
"Beaumont Hospital - Dearborn","Dearborn","Michigan"
"Children's Hospital of Michigan","Detroit","Michigan"
"Henry Ford Hospital","Detroit","Michigan"
"St. John Hospital & Medical Center","Detroit","Michigan"
"Hurley Medical Center","Flint","Michigan"
"DeVos Children's, Spectrum Health","Grand Rapids","Michigan"
"Mercy Health Saint Mary's","Grand Rapids","Michigan"
"Children's Hospital at Bronson","Kalamazoo","Michigan"
"Sparrow Hospital","Lansing","Michigan"
"UPHS-Marquette","Marquette","Michigan"
"St. Joseph Mercy Oakland","Pontiac","Michigan"
"William Beaumont Hospital","Royal Oak","Michigan"
"Covenant Healthcare","Saginaw","Michigan"
"Providence Hospital & Medical Center","Southfield","Michigan"
"Munson Medical Center","Traverse City","Michigan"
"Essentia Health- St. Mary's Children's Hospital","Duluth","Minnesota"
"Children's Hospitals and Clinics- Minneapolis","Minneapolis","Minnesota"
"Hennepin County Medical Center","Minneapolis","Minnesota"
"University of MN Masonic Children's Hospital","Minneapolis","Minnesota"
"North Memorial Medical Center","Robbinsdale","Minnesota"
"Mayo Foundation","Rochester","Minnesota"
"St. Cloud Hospital","Saint Cloud","Minnesota"
"Children's Hospitals and Clinics- St Paul","Saint Paul","Minnesota"
"Merit Health River Oaks","Flowood","Mississippi"
"Merit Health Woman's Hospital","Flowood","Mississippi"
"Delta Regional Medical Center","Greenville","Mississippi"
"Memorial Hospital at Gulfport","Gulfport","Mississippi"
"Forrest General Hospital","Hattiesburg","Mississippi"
"Merit Health Wesley","Hattiesburg","Mississippi"
"Children's Hospital at U. of MS Health Care","Jackson","Mississippi"
"Merit Health Central","Jackson","Mississippi"
"Mississippi Baptist Health Systems","Jackson","Mississippi"
"St. Dominic, Jackson Memorial Hospital","Jackson","Mississippi"
"Anderson Regional Medical Center","Meridian","Mississippi"
"North Mississippi Medical Center","Tupelo","Mississippi"
"St. Francis Medical Center","Cape Girardeau","Missouri"
"Women's & Children's Hosp, U. of MO","Columbia","Missouri"
"Centerpoint Medical Center","Independence","Missouri"
"Freeman Hospital and Health System","Joplin","Missouri"
"Children's Mercy Kansas City","Kansas City","Missouri"
"Research Medical Center","Kansas City","Missouri"
"St. Luke's Hospital","Kansas City","Missouri"
"Truman Medical Center","Kansas City","Missouri"
"Mercy Children's Hospital , St. Louis","Saint Louis","Missouri"
"SSM Health Cardinal Glennon Children's Hospital","Saint Louis","Missouri"
"St. Louis Children's Hospital","Saint Louis","Missouri"
"Cox Health Neonatology","Springfield","Missouri"
"Mercy Kids Springfield","Springfield","Missouri"
"Billings Clinic","Billings","Montana"
"St. Vincent Hospital & Health Center","Billings","Montana"
"Benefis Healthcare","Great Falls","Montana"
"Kalispell Regional Medical Center","Kalispell","Montana"
"Community Medical Center","Missoula","Montana"
"Good Samaritan Hospital  Kearney","Kearney","Nebraska"
"Bryan Medical Center","Lincoln","Nebraska"
"St. Elizabeth Regional Medical Center","Lincoln","Nebraska"
"CHI Health Bergan Mercy Medical Center","Omaha","Nebraska"
"Creighton University Medical Center","Omaha","Nebraska"
"Methodist Women's Hospital","Omaha","Nebraska"
"Nebraska Medical Center","Omaha","Nebraska"
"St. Rose Dominican Hospital Siena Campus","Henderson","Nevada"
"Children's Hospital of Nevada at UMC","Las Vegas","Nevada"
"Sunrise Hospital and Medical Center","Las Vegas","Nevada"
"Dartmouth Hitchcock Medical Center","Lebanon","New Hampshire"
"Elliot Hospital","Manchester","New Hampshire"
"Children's at Cooper University Medical Center","Camden","New Jersey"
"Our Lady of Lourdes Medical Center","Camden","New Jersey"
"Hackensack University Medical Center","Hackensack","New Jersey"
"Jersey City Medical Center","Jersey City","New Jersey"
"St. Barnabas Medical Center","Livingston","New Jersey"
"Monmouth Medical Center","Long Branch","New Jersey"
"Mountainside Hospital","Montclair","New Jersey"
"Goryeb Children's Hospital","Morristown","New Jersey"
"Jersey Shore University Medical Center","Neptune","New Jersey"
"Robert Wood Johnson University Hospital","New Brunswick","New Jersey"
"St. Peter's Medical Center","New Brunswick","New Jersey"
"Children's Hospital of New Jersey at NBIMC","Newark","New Jersey"
"University Hospital Rutgers-NJMS","Newark","New Jersey"
"St. Joseph Hospital and Medical Center","Paterson","New Jersey"
"Capital Health Medical Center-Hopewell","Pennington","New Jersey"
"Atlanticare Regional Medical Center - NICU","Pomona","New Jersey"
"Shore Medical Center","Somers Point","New Jersey"
"Overlook Medical Center","Summit","New Jersey"
"Community Medical Center  Toms River","Toms River","New Jersey"
"Inspira Health Network","Vineland","New Jersey"
"Virtua Hospital Systems","Voorhees","New Jersey"
"Hackensack UMC @ Pascack Valley","Westwood","New Jersey"
"Children's Medical Center at Presbyterian Hospital","Albuquerque","New Mexico"
"Lovelace Women's Hospital","Albuquerque","New Mexico"
"UNM School of Medicine  Dept. of Pediatrics","Albuquerque","New Mexico"
"Albany Medical Center","Albany","New York"
"St. Peter's Hospital","Albany","New York"
"Jacobi Medical Center","Bronx","New York"
"Montefiore Medical Center-Wakefield Division","Bronx","New York"
"Weiler Hospital Montefiore","Bronx","New York"
"Brookdale Hospital Medical Center","Brooklyn","New York"
"Brooklyn Hospital Center, The","Brooklyn","New York"
"Kings County Hospital Center","Brooklyn","New York"
"Lutheran Medical Center","Brooklyn","New York"
"Maimonides Medical Center","Brooklyn","New York"
"University Hospital of Brooklyn","Brooklyn","New York"
"Sisters of Charity Hospital","Buffalo","New York"
"Arnot Ogden Medical Center","Elmira","New York"
"North Shore University Hospital","Manhasset","New York"
"Orange Regional Medical Center","Middletown","New York"
"Winthrop University Hospital","Mineola","New York"
"Cohen Children's Medical Center of New York","New Hyde Park","New York"
"Bellevue Hospital","New York","New York"
"Columbia University Medical Center","New York","New York"
"Lenox Hill Hospital","New York","New York"
"Mt. Sinai Kravis Children's Hospital, The","New York","New York"
"Tisch Hospital, NYU Medical Center","New York","New York"
"Weill Cornell Medical Center","New York","New York"
"Vassar Brothers Hospital","Poughkeepsie","New York"
"Golisano Children's Hospital at Strong","Rochester","New York"
"Richmond University Medical Center","Staten Island","New York"
"Staten Island University Hospital","Staten Island","New York"
"Stony Brook University Medical Center","Stony Brook","New York"
"St. Joseph's Health Center","Syracuse","New York"
"Good Samaritan Hospital Medical Center","West Islip","New York"
"Mission Children's Hospital","Asheville","North Carolina"
"North Carolina Children's Hospital","Chapel Hill","North Carolina"
"Carolinas Medical Center","Charlotte","North Carolina"
"Novant Health Presbyterian Medical Center","Charlotte","North Carolina"
"Jeff Gordon Children's Hospital at CMC","Concord","North Carolina"
"Duke University","Durham","North Carolina"
"Cape Fear Valley Medical Center","Fayetteville","North Carolina"
"Cone Health Women's Hospital","Greensboro","North Carolina"
"Vidant Medical Center","Greenville","North Carolina"
"Catawba Valley Medical Center","Hickory","North Carolina"
"Onslow Memorial Hospital","Jacksonville","North Carolina"
"FirstHealth Moore Regional Hospital","Pinehurst","North Carolina"
"Rex Hospital","Raleigh","North Carolina"
"WakeMedical Center","Raleigh","North Carolina"
"NHRMC-Betty H.Cameron Women & Children's Hospital","Wilmington","North Carolina"
"Brenner Children's Hospital at WFUBMC","Winston-Salem","North Carolina"
"Forsyth Memorial Hospital","Winston-Salem","North Carolina"
"Sanford Bismarck Medical Center","Bismarck","North Dakota"
"Essentia Health","Fargo","North Dakota"
"Sanford Medical Center Fargo","Fargo","North Dakota"
"Altru Health System","Grand Forks","North Dakota"
"Trinity Hospital","Minot","North Dakota"
"Akron Children's Hospital","Akron","Ohio"
"Akron Children's Special Care Nursery at Summa","Akron","Ohio"
"Akron Children's NICU at St. Elizabeth - Boardman","Boardman","Ohio"
"Aultman Hospital","Canton","Ohio"
"Children's Hospital Medical Center Cincinnati","Cincinnati","Ohio"
"Good Samaritan Hospital","Cincinnati","Ohio"
"University Hospital, Cincinnati","Cincinnati","Ohio"
"Cleveland Clinic Foundation, The","Cleveland","Ohio"
"Fairview Hospital","Cleveland","Ohio"
"MetroHealth Medical Center","Cleveland","Ohio"
"Rainbow Babies & Children's Hospital","Cleveland","Ohio"
"Mt. Carmel Health Systems","Columbus","Ohio"
"NCH at Doctor's Hospital West","Columbus","Ohio"
"NCH at Grant Medical Center","Columbus","Ohio"
"NCH at Riverside Methodist Hospital","Columbus","Ohio"
"NCH Main Campus","Columbus","Ohio"
"NCH NICU @Ohio State Medical Ctr","Columbus","Ohio"
"Dayton Children's Hospital","Dayton","Ohio"
"Miami Valley Hospital","Dayton","Ohio"
"NCH at Dublin Methodist Hospital","Dublin","Ohio"
"Kettering Medical Center","Kettering","Ohio"
"CCF Children's - Hillcrest NICU","Mayfield Heights","Ohio"
"Mercy Children's Hospital","Toledo","Ohio"
"Toledo Children's Hospital","Toledo","Ohio"
"NCH NICU at Mount Carmel St. Ann's Hospital","Westerville","Ohio"
"O.U. Health Sciences Center","Oklahoma City","Oklahoma"
"Henry Zarrow Neonatal Intensive Care Unit","Tulsa","Oklahoma"
"Peggy V. Helmerich Women's Center","Tulsa","Oklahoma"
"St. John Medical Center","Tulsa","Oklahoma"
"St. Charles Health Care","Bend","Oregon"
"Kaiser  Sunnyside Medical Center","Clackamas","Oregon"
"Rogue Regional Medical Center","Medford","Oregon"
"Oregon Health and Science University","Portland","Oregon"
"Providence Portland Medical Center","Portland","Oregon"
"Providence St. Vincent Medical Center","Portland","Oregon"
"Randall Children's Hospital at Legacy Emanuel","Portland","Oregon"
"Salem Hospital","Salem","Oregon"
"Sacred Heart Medical Center","Springfield","Oregon"
"Abington Memorial Hospital","Abington","Pennsylvania"
"Lehigh Valley Health Network","Allentown","Pennsylvania"
"St. Luke's Allentown Campus","Allentown","Pennsylvania"
"St. Luke's University Hospital","Bethlehem","Pennsylvania"
"Bryn Mawr Hospital","Bryn Mawr","Pennsylvania"
